start,end,duration
2017-09-28 23:20:00,2017-09-28 23:50:00,0 days 00:30:00
2017-09-29 00:40:00,2017-09-29 01:00:00,0 days 00:20:00
2017-09-29 01:05:00,2017-09-29 11:30:00,0 days 10:25:00
2017-09-29 11:50:00,2017-09-29 14:15:00,0 days 02:25:00
2017-09-29 14:25:00,2017-09-29 14:35:00,0 days 00:10:00
2017-09-29 14:40:00,2017-09-29 15:10:00,0 days 00:30:00
2017-09-29 15:15:00,2017-09-29 15:25:00,0 days 00:10:00
2017-09-29 15:30:00,2017-09-29 17:10:00,0 days 01:40:00
2017-09-29 17:15:00,2017-09-29 17:50:00,0 days 00:35:00
2017-09-29 17:55:00,2017-09-29 18:25:00,0 days 00:30:00
2017-09-30 00:50:00,2017-09-30 01:00:00,0 days 00:10:00
2017-09-30 01:40:00,2017-09-30 01:45:00,0 days 00:05:00
2017-09-30 01:50:00,2017-09-30 02:00:00,0 days 00:10:00
2017-09-30 02:10:00,2017-09-30 02:15:00,0 days 00:05:00
2017-09-30 02:40:00,2017-09-30 02:45:00,0 days 00:05:00
2017-09-30 05:00:00,2017-09-30 05:45:00,0 days 00:45:00
2017-09-30 06:00:00,2017-09-30 09:35:00,0 days 03:35:00
2017-09-30 09:40:00,2017-09-30 10:05:00,0 days 00:25:00
2017-09-30 10:10:00,2017-09-30 11:10:00,0 days 01:00:00
2017-09-30 11:25:00,2017-09-30 11:30:00,0 days 00:05:00
2017-10-01 06:00:00,2017-10-01 06:05:00,0 days 00:05:00
2017-10-01 07:50:00,2017-10-01 07:55:00,0 days 00:05:00
2017-10-01 08:00:00,2017-10-01 08:10:00,0 days 00:10:00
2017-10-01 08:20:00,2017-10-01 08:25:00,0 days 00:05:00
2017-10-01 08:30:00,2017-10-01 08:45:00,0 days 00:15:00
2017-10-01 08:50:00,2017-10-01 09:25:00,0 days 00:35:00
2017-10-01 09:30:00,2017-10-01 10:00:00,0 days 00:30:00
2017-10-01 10:10:00,2017-10-01 11:10:00,0 days 01:00:00
2017-10-01 19:50:00,2017-10-01 20:15:00,0 days 00:25:00
2017-10-01 21:15:00,2017-10-01 21:25:00,0 days 00:10:00
2017-10-02 00:40:00,2017-10-02 02:00:00,0 days 01:20:00
2017-10-02 02:25:00,2017-10-02 02:35:00,0 days 00:10:00
2017-10-02 03:55:00,2017-10-02 04:20:00,0 days 00:25:00
2017-10-02 04:30:00,2017-10-02 05:35:00,0 days 01:05:00
2017-10-02 05:55:00,2017-10-02 06:00:00,0 days 00:05:00
2017-10-02 06:10:00,2017-10-02 06:15:00,0 days 00:05:00
2017-10-02 07:05:00,2017-10-02 08:05:00,0 days 01:00:00
2017-10-02 08:10:00,2017-10-02 08:50:00,0 days 00:40:00
2017-10-02 09:15:00,2017-10-02 09:20:00,0 days 00:05:00
2017-10-02 09:35:00,2017-10-02 09:40:00,0 days 00:05:00
2017-10-02 13:00:00,2017-10-02 13:10:00,0 days 00:10:00
2017-10-02 21:25:00,2017-10-02 21:50:00,0 days 00:25:00
2017-10-02 22:45:00,2017-10-02 22:55:00,0 days 00:10:00
2017-10-03 00:55:00,2017-10-03 01:00:00,0 days 00:05:00
2017-10-03 01:05:00,2017-10-03 01:10:00,0 days 00:05:00
2017-10-03 01:15:00,2017-10-03 01:40:00,0 days 00:25:00
